sample;read1;read2
27;Carbapenemases_illumina/501181-12_S27_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/501181-12_S27_L001_R2_001_val_2.fq.gz
20;Carbapenemases_illumina/501326-11_S20_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/501326-11_S20_L001_R2_001_val_2.fq.gz
1;Carbapenemases_illumina/501457-1-17_S1_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/501457-1-17_S1_L001_R2_001_val_2.fq.gz
2;Carbapenemases_illumina/501457-2-17_S2_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/501457-2-17_S2_L001_R2_001_val_2.fq.gz
3;Carbapenemases_illumina/501457-3-17_S3_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/501457-3-17_S3_L001_R2_001_val_2.fq.gz
4;Carbapenemases_illumina/501457-4-17_S4_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/501457-4-17_S4_L001_R2_001_val_2.fq.gz
5;Carbapenemases_illumina/501457-5-17_S5_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/501457-5-17_S5_L001_R2_001_val_2.fq.gz
7;Carbapenemases_illumina/501526-1-17_S7_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/501526-1-17_S7_L001_R2_001_val_2.fq.gz
8;Carbapenemases_illumina/501526-2-17_S8_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/501526-2-17_S8_L001_R2_001_val_2.fq.gz
7;Carbapenemases_illumina/502937-17_S7_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/502937-17_S7_L001_R2_001_val_2.fq.gz
20;Carbapenemases_illumina/503397-12_S20_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/503397-12_S20_L001_R2_001_val_2.fq.gz
12;Carbapenemases_illumina/504100-16_S12_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/504100-16_S12_L001_R2_001_val_2.fq.gz
9;Carbapenemases_illumina/601641-17_S9_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/601641-17_S9_L001_R2_001_val_2.fq.gz
1;Carbapenemases_illumina/603599-17_S1_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/603599-17_S1_L001_R2_001_val_2.fq.gz
7;Carbapenemases_illumina/607795-16_S7_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/607795-16_S7_L001_R2_001_val_2.fq.gz
10;Carbapenemases_illumina/610213-16_S10_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/610213-16_S10_L001_R2_001_val_2.fq.gz
11;Carbapenemases_illumina/610215-16_S11_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/610215-16_S11_L001_R2_001_val_2.fq.gz
24;Carbapenemases_illumina/702166-12_S24_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/702166-12_S24_L001_R2_001_val_2.fq.gz
19;Carbapenemases_illumina/704984-11_S19_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/704984-11_S19_L001_R2_001_val_2.fq.gz
27;Carbapenemases_illumina/707974-17_S27_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/707974-17_S27_L001_R2_001_val_2.fq.gz
11;Carbapenemases_illumina/713220-4-17_S11_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/713220-4-17_S11_L001_R2_001_val_2.fq.gz
16;Carbapenemases_illumina/713852-17_S16_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/713852-17_S16_L001_R2_001_val_2.fq.gz
9;Carbapenemases_illumina/714843-17_S9_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/714843-17_S9_L001_R2_001_val_2.fq.gz
8;Carbapenemases_illumina/716042-10_S8_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/716042-10_S8_L001_R2_001_val_2.fq.gz
9;Carbapenemases_illumina/717256-10_S9_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/717256-10_S9_L001_R2_001_val_2.fq.gz
7;Carbapenemases_illumina/718481-11_S7_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/718481-11_S7_L001_R2_001_val_2.fq.gz
10;Carbapenemases_illumina/800329-11_S10_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/800329-11_S10_L001_R2_001_val_2.fq.gz
48;Carbapenemases_illumina/804001-16_S48_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/804001-16_S48_L001_R2_001_val_2.fq.gz
12;Carbapenemases_illumina/804135-14_S12_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/804135-14_S12_L001_R2_001_val_2.fq.gz
11;Carbapenemases_illumina/804414-1-11_S11_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/804414-1-11_S11_L001_R2_001_val_2.fq.gz
12;Carbapenemases_illumina/804414-2-11_S12_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/804414-2-11_S12_L001_R2_001_val_2.fq.gz
13;Carbapenemases_illumina/804414-3-11_S13_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/804414-3-11_S13_L001_R2_001_val_2.fq.gz
28;Carbapenemases_illumina/804442_S28_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/804442_S28_L001_R2_001_val_2.fq.gz
29;Carbapenemases_illumina/804562_S29_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/804562_S29_L001_R2_001_val_2.fq.gz
14;Carbapenemases_illumina/805095-11_S14_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/805095-11_S14_L001_R2_001_val_2.fq.gz
31;Carbapenemases_illumina/805689_S31_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/805689_S31_L001_R2_001_val_2.fq.gz
43;Carbapenemases_illumina/806823-15_S43_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/806823-15_S43_L001_R2_001_val_2.fq.gz
3;Carbapenemases_illumina/807325-16_S3_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/807325-16_S3_L001_R2_001_val_2.fq.gz
20;Carbapenemases_illumina/808922-42-16_S20_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/808922-42-16_S20_L001_R2_001_val_2.fq.gz
21;Carbapenemases_illumina/808927-4-16_S21_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/808927-4-16_S21_L001_R2_001_val_2.fq.gz
22;Carbapenemases_illumina/808934-10-16_S22_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/808934-10-16_S22_L001_R2_001_val_2.fq.gz
23;Carbapenemases_illumina/808934-11-16_S23_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/808934-11-16_S23_L001_R2_001_val_2.fq.gz
21;Carbapenemases_illumina/9959-09-2010-12_S21_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/9959-09-2010-12_S21_L001_R2_001_val_2.fq.gz
